"subclass","name","description","data","divisions","keywords","slug","url","country","state","city","lat","lng","pinned_by","pinned_at","visibility","status_flag","owner_id","deleted","publish_date","created_at","updated_at"
"article","Ebola publications: Vaccines, research and development","  ","[null,9]","NULL","NULL","NULL","http://www.who.int/entity/csr/resources/publications/ebola/vaccines/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","3/15/08 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Ebola outbreak: 2015 news, updates, and top stories","  ","[null,9]","NULL","NULL","NULL","http://www.who.int/entity/csr/disease/ebola/top-stories-2015/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/31/15 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Guinea: Ebola vaccine trial","Results from an interim analysis of the Guinea Phase III efficacy vaccine trial show that VSV-EBOV (Merck, Sharp & Dohme) is highly effective against Ebola. The independent body of international experts - the Data and Safety Monitoring Board ‰ÛÒ that c...","[null,9]","|1|","|outbreak|","NULL","http://www.who.int/features/2015/guinea-ebola-vaccine/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/31/15 0:00","1/21/16 0:36","1/21/16 0:36"
"article","World on the verge of an effective Ebola vaccine ","Results from an interim analysis of the Guinea Phase III efficacy vaccine trial show that VSV-EBOV (Merck, Sharp & Dohme) is highly effective against Ebola. The independent body of international experts - the Data and Safety Monitoring Board ‰ÛÒ that c...","[null,9]","NULL","NULL","NULL","http://www.who.int/entity/mediacentre/news/releases/2015/effective-ebola-vaccine/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/31/15 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Videos: Ebola outbreak response","Published on 15 July 2015  When Ebola hit West Africa the healthcare systems of the region were under-financed and poorly equipped. Liberia had only 130 doctors for a country of 4.5 million people. Many of those doctors died of the disease. As Liberi...","[null,9]","|5|3|","|training|","NULL","http://www.who.int/entity/csr/disease/ebola/videos/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/24/15 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Vaccinating and registering the children born during Ebola","In Sierra Leone, the Ebola outbreak has affected all aspects of health care. Exact numbers are yet to be confirmed but it is clear that many children have missed out on routine vaccination services and birth registration during the outbreak. To counter...","[null,9]","|1|","|outbreak|","NULL","http://www.who.int/features/2015/birth-registration-during-ebola/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/23/15 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Ebola diaries: Helping people to stay safe","Dr Carmem Pessoa da Silva is an infection control specialist at WHO. She was first deployed to Liberia in September 2014 when the Ebola outbreak was at its height. The number of people ill with Ebola greatly outnumbered the number of treatment beds. Pe...","[null,9]","|1|","|outbreak|","NULL","http://www.who.int/features/2015/ebola-diaries-pessoa/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/21/15 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Ebola: Infection prevention and control recovery plans and implementation. Guinea, Liberia, and Sierra Leone inter-country meeting","Place: Monrovia, Liberia Dates: 20-22 July 2015  Monrovia is hosting a meeting of infection prevention and control (IPC) experts from the 3 Ebola-affected countries. The overall aim of the meeting is to share experiences on IPC practices, and water an...","[null,9]","|3|","|recovery|","NULL","http://www.who.int/entity/csr/disease/ebola/ipc-meeting-liberia/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/20/15 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Ebola publications: Strategy, and coordination","In order to be prepared to respond to all acute public health emergencies, including a potential Ebola virus disease event, countries need to review and enhance national public health emergency preparedness and response plans, and national command and ...","[null,9]","|3|6|4|1|","|response|preparedness|virus|coordination|","NULL","http://www.who.int/entity/csr/resources/publications/ebola/coordination/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/16/15 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Ebola diaries: Lessons from previous Ebola outbreaks help with the response in Guinea","Marie Claire Therese Fwelo Mwanza, a social mobilization expert with 27 years experience at WHO, helped end 5 of the Democratic Republic of Congo‰Ûªs (DRC) 7 Ebola outbreaks through effective community engagement. In 2014, Marie Claire played a role in...","[null,9]","|1|3|","|outbreak|response|","NULL","http://www.who.int/features/2015/ebola-diaries-mwanza/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/15/15 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Frequently asked questions on Ebola virus disease ","Ebola virus disease (formerly known as Ebola haemorrhagic fever) is a severe, often fatal illness, with a death rate of up to 90% caused by Ebola virus, a member of the filovirus family.   The Ebola virus was first identified in 1976 when 2 simultaneou...","[null,9]","|1|","|virus|","NULL","http://www.who.int/entity/csr/disease/ebola/faq-ebola/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/14/15 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Getting back to work: Training health staff for life and work after Ebola","As countries with cases of Ebola virus disease work tirelessly to get to zero cases, efforts are already underway to re-train health workers and return them to the workforce. In May, a pilot training programme was completed in Lofa County, Liberia.   ","[null,9]","|5|3|1|","|training|virus|","NULL","http://www.who.int/features/2015/ebola-training-liberia/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/14/15 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Liberia update: New information from genetic sequencing","On 29 June 2015, a new case of Ebola virus disease was identified in Liberia 50 days after interruption of active transmission was achieved on 9 May. Since then, a cluster of cases has been identified, all of them from Nedowein in Margibi county. Curre...","[null,9]","|1|","|virus|","NULL","http://www.who.int/entity/mediacentre/news/ebola/10-july-2015-liberia/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","10/15/07 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Sierra Leone: Inspiring confidence and trust in Ebola care","In Sierra Leone‰Ûªs Magazine Wharf, there are mixed perceptions around Ebola response systems. Ambulance services are met with especial scepticism. Many fear that a trip in the ambulance will end in death in an Ebola treatment centre or holding unit. O...","[null,9]","|3|","|response|","NULL","http://www.who.int/features/2015/ebola-ambulance-sierra-leone/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","9/15/07 0:00","1/21/16 0:36","1/21/16 0:36"
"article","A panel of independent experts to assess WHO's response in the Ebola outbreak","The WHO Director-General has commissioned a panel of outside independent experts to undertake an assessment on all aspects of WHO‰Ûªs response in the Ebola outbreak. This is in response to a resolution passed during the Ebola Special Session of the Exe...","[null,9]","|3|6|1|","|response|outbreak|humanitarian|","NULL","http://www.who.int/entity/csr/disease/ebola/panel-to-assess-response/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/15/07 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Statement on the 6th meeting of the IHR Emergency Committee regarding the Ebola outbreak in West Africa","The 6th meeting of the Emergency Committee convened by the WHO Director-General under the International Health Regulations (IHR) (2005) regarding the Ebola virus disease (EVD) outbreak in West Africa took place by teleconference on Thursday, 2 July 201...","[null,9]","|1|","|outbreak|virus|","NULL","http://www.who.int/entity/mediacentre/news/statements/2015/ihr-ebola-7-july-2015/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/15/07 0:00","1/21/16 0:36","1/21/16 0:36"
"article","WHO response to the Ebola Interim Assessment Panel report","WHO welcomes the report from the Ebola Interim Assessment Panel and thanks the hard-working members for their rapid review, analysis and recommendations.   The panel members divided their review and recommendations into 3 areas: the International Healt...","[null,9]","|6|3|","|response|humanitarian|","NULL","http://www.who.int/entity/mediacentre/news/statements/2015/ebola-panel-report/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","7/15/07 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Progress in the Ebola response","  ","[null,9]","NULL","NULL","NULL","http://www.who.int/entity/csr/disease/ebola/response/infographic/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","6/15/07 0:00","1/21/16 0:36","1/21/16 0:36"
"article","Recurrence of Ebola transmission in Liberia","On 9 May 2015, Liberia marked an important milestone in the management of their Ebola outbreak. On that day, the country was declared free of Ebola transmission because no new cases had been identified for 42 days after the safe burial of the last pers...","[null,9]","|1|","|virus|outbreak|","NULL","http://www.who.int/entity/mediacentre/news/ebola/03-july-2015-liberia/en/index.html","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","1","0","3/15/07 0:00","1/21/16 0:36","1/21/16 0:36"
