"subclass","name","description","data","divisions","keywords","slug","url","country","state","city","lat","lng","pinned_by","pinned_at","visibility","status_flag","owner_id","deleted","publish_date","created_at","updated_at"
"infoResource","211 Ontario","NULL","NULL","|3|1|6|","|emergency|training|preparedness|management|co-ordinator|","NULL","http://www.211ontario.ca/basic-page/about","canada","ontario","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","##########","##########"
"infoResource","Abbeville County Emergency Management","NULL","NULL","|3|4|","NULL","NULL","http://www.abbevillecountysc.com/emermgt.aspx","united states","south carolina","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","##########","##########"
"infoResource","ABC Emergency","NULL","NULL","|3|2|","|emergency|coverage|alerts|warnings|","NULL","http://www.abc.net.au/news/emergency/","australia","all regions","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","##########","##########"
"infoResource","aboriginal affairs and northern development canada","NULL","NULL","|3|1|2|","|emergency|management|aboriginal|northern|preparadenss|response|","NULL","https://www.aadnc-aandc.gc.ca/eng/1309369889599/1309369935837","canada","all regions","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","##########","##########"
"infoResource","aboriginal disaster resilience project resources information guide: nunavut","NULL","NULL","|3|1|2|6|","|air|climate|hazards|water|oceans and ice|land|benefits on earth|earth research findings|","NULL","https://adrp.jibc.ca/wp-content/uploads/2015/04/Risk-and-Info-Guide-Nunavut1.pdf","canada","nunavut","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","##########","##########"
"infoResource","aboriginal disaster resilience project resources information guide: yukon","NULL","NULL","|3|2|","|emergency|management|response|recovery|preparedness|flood|search and rescue|","NULL","https://adrp.jibc.ca/wp-content/uploads/2015/04/Risk-and-Info-Guide-Yukon1.pdf","canada","yukon","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","##########","##########"
"infoResource","aboriginal disaster resilience project resources: newfoundland and labrador","NULL","NULL","|3|1|","|emergency|search|rescue|response|recovery|science reserch academia|","NULL","https://adrp.jibc.ca/wp-content/uploads/2015/04/Risk-and-Info-Guide-NL1.pdf","canada","newfoundland and labrador","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","##########","##########"
"infoResource","Act Emergency Services Agency","NULL","NULL","|3|1|","|emergency|paramedic|disaster|response|fire|safety|","NULL","http://esa.act.gov.au/","new zealand","all regions","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","##########","##########"
"infoResource","Action Plan (502)","NULL","NULL","|3|","|transportation|plan|506|forms|templates|","NULL","http://www2.gov.bc.ca/assets/gov/public-safety-and-emergency-services/emergency-preparedness-response-recovery/local-government/502.pdf","canada","british columbia","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","##########","##########"
"infoResource","Adams State University ","NULL","NULL","NULL","|associate|arts|emergency|management|assessment|prior|learning|fem|a|distance|on-campus|incident|law|corrections|","NULL","http://www.adams.edu/extended_studies/undergrad/associate-of-arts-emergency-mgt-emphasis.php","united states","colorado","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","##########","##########"
