id,weight,"keyword","slug","divisions",deleted,"created_at","updated_at"
1,1,"terrorism","terrorism","|4|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
2,1,"terrorist","terrorist","|4|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
3,1,"breach","breach","|4|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
4,1,"security","security","|4|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
5,1,"cybersecurity","cybersecurity","|4|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
6,1,"threat","threat","|4|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
7,1,"cybercrime","cybercrime","|4|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
8,1,"civil protection","civil-protection","|4|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
9,1,"risk reduction","risk-reduction","|3|4|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
10,1,"preparedness","preparedness","|3|4|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
11,1,"mitigation","mitigation","|3|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
12,1,"infrastructure","infrastructure","|3|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
13,1,"recovery","recovery","|3|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
14,1,"response","response","|3|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
15,1,"humanitarian","humanitarian","|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
16,1,"pandemic","pandemic","|1|3|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
17,1,"epidemic","epidemic","|1|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
18,1,"endemic","endemic","|1|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
19,1,"outbreak","outbreak","|1|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
20,1,"quarentine","quarentine","|1|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
21,1,"virus","virus","|1|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
22,1,"risk management","risk-management","|3|5|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
23,1,"continuity","continuity","|3|5|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
24,1,"resiliency","resiliency","|3|5|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
25,1,"resilience","resilience","|3|5|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
26,1,"communication","communication","|3|5|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
27,1,"training","training","|3|5|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
28,1,"exercise","exercise","|3|5|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
29,1,"relief","relief","|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
30,1,"aid","aid","|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
31,1,"coordination","coordination","|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
32,1,"earthquake","earthquake","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
33,1,"hurricane","hurricane","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
34,1,"cyclone","cyclone","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
35,1,"typhoon","typhoon","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
36,1,"tsunami","tsunami","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
37,1,"tornado","tornado","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
38,1,"tropical storm","tropical-storm","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
39,1,"landslide","landslide","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
40,1,"mudslide","mudslide","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
41,1,"flood","flood","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
42,1,"ice storm","ice-storm","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
43,1,"volcano","volcano","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
44,1,"storm surge","storm-surge","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
45,1,"severe weather","severe-weather","|2|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
46,1,"oil spill","oil-spill","|1|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
47,1,"nuclear","nuclear","|1|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
48,1,"chemical spill","chemical-spill","|1|3|6|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
49,1,"train derailment","train-derailment","|5|3|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
50,1,"bridge collapse","bridge-collapse","|5|3|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
51,1,"active shooter","active-shooter","|3|4|",0,"2015-11-20 22:43:58","2015-11-20 22:43:58"
