"name","url","country","region","divisions","keywords"
"211 Ontario","http://www.211ontario.ca/basic-page/about","canada","ontario","EM, practitioner, heath, ngo , humanitarian","emergency, training, preparedness, management, co-ordinator,"
"Abbeville County Emergency Management","http://www.abbevillecountysc.com/emermgt.aspx","united states","south carolina","EM, Practitioner , Response, Civil , Cyber Security",""
"ABC Emergency","http://www.abc.net.au/news/emergency/","australia","all regions","EM, practitioner, science research Academia","emergency, coverage, alerts, warnings,"
"aboriginal affairs and northern development canada","https://www.aadnc-aandc.gc.ca/eng/1309369889599/1309369935837","canada","all regions","EM, practitioner, health, science research Academia","emergency, management, aboriginal,northern, preparadenss, response"
"aboriginal disaster resilience project resources information guide: nunavut","https://adrp.jibc.ca/wp-content/uploads/2015/04/Risk-and-Info-Guide-Nunavut1.pdf","canada","nunavut","EM, practitioner, health, science research Academia, ngo , humanitarian","Air, Climate, Hazards, Water, Oceans and Ice, Land, Benefits on Earth, Earth Research Findings"
"aboriginal disaster resilience project resources information guide: yukon","https://adrp.jibc.ca/wp-content/uploads/2015/04/Risk-and-Info-Guide-Yukon1.pdf","canada","yukon","EM, practitioner, science research Academia","emergency, management, response, recovery, preparedness, flood, search and rescue"
"aboriginal disaster resilience project resources: newfoundland and labrador","https://adrp.jibc.ca/wp-content/uploads/2015/04/Risk-and-Info-Guide-NL1.pdf","canada","newfoundland and labrador","EM, practitioner, Health, science reserch Academia, health","emergency, search, rescue, response, recovery"
"Act Emergency Services Agency","http://esa.act.gov.au/","new zealand","all regions","EM, practitioner, health","emergency, paramedic, disaster, response, fire, safety"
"Action Plan (502)","http://www2.gov.bc.ca/assets/gov/public-safety-and-emergency-services/emergency-preparedness-response-recovery/local-government/502.pdf","canada","british columbia","EM,Practitioner","Transportation, Plan, 506, forms, templates"
"Adams State University ","http://www.adams.edu/extended_studies/undergrad/associate-of-arts-emergency-mgt-emphasis.php","united states","colorado","associate, arts, Emergency, management, assessment, prior, learning, fEM,a, distance, on-campus, incident, law, corrections",""
"Adelphi University","http://university-college.adelphi.edu/academics/undergraduate-degrees/bachelor-of-science-in-emergency-services-administration","united states","new york","Emergency, services, administration, management, homeland, security, environmental, health",""
"Adler School","http://www.adler.edu/page/areas-of-study/chicago/ma-in-emergency-management-leadership/overview","united states","illinois","disaster, response, psychology, terrorism, private, sector, Emergency, management, disaster, health",""
"Administration of the Territorial Land Acts System (ATLAS)","http://gis.maca.gov.nt.ca/Website/index.asp","canada","northwest territories","science research Academia","emergency, management, hazard, disaster, education, coordination"
"_Comprehensive Emergency Management Plan Health Annex","http://www2.gov.bc.ca/assets/gov/public-safety-and-emergency-services/emergency-preparedness-response-recovery/provincial-emergency-planning/public-health-and-medical-services-annex.pdf","canada","british columbia","EM, Practitioner , Response","Emergency, Response, Plan, Earthquake, Seismi, Tsunami, Volcanic, Volcanic Eruption, Wildfire, Hydrological, Flood, Drought, Severe Weather, Storm Surge, Hazardous Materials, Spills, Oil spills, Dam Breaches, Disease, Epidemics, Pandemic, Infuenza, Terrorism, CBRNE, Chemical, Nuclear, Radiological, Explosive, Defense, Coordination, Assistance, First Nations, First Responders, Fire, Police, Ambulance,"
"_Environmental Emergency Program","http://www2.gov.bc.ca/gov/content/environment/air-land-water/spills-environmental-emergencies/environmental-emergency-program","canada","british columbia","EM, Practitioner , Response, Science Academia Research, Health","Coroner, Fatality, Response, Plan, Remains, Transportation, Storage, Morgue,"
"Agency of Transportation","http://vtrans.vermont.gov/","united states","vermont","EM, Practitioner , Response, Civil , Cyber Security",""
"Aging","http://www.aging.ca.gov/?AspxAutoDetectCookieSupport=1","united states","california","Health, Science Research , Academia",""
"Aging and Adult Services","http://www.hsdaas.utah.gov/","united states","utah","Health, Science Research , Academia",""
"Aging and Disability","http://www.dads.state.tx.us/","united states","texas","Health, Science Research , Academia",""
"Aging and Elderly","http://www.aging.idaho.gov/","united states","idaho","Health, Science Research , Academia",""
"Agriculture","http://agriculture.ks.gov/","united states","kansas","EM, Practitioner , Response, Science , Research , Academia",""
"Agriculture","http://agriculture.wy.gov/","united states","wyoming","EM, Practitioner , Response, Science , Research , Academia",""
